Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify the Date End field of Shipping module for taking future dates,RR-88,10127,Bug,To Do,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,07/Sep/21 6:28 AM,08/Sep/21 8:14 AM,09/Sep/21 6:03 AM,,,0,"Verify the Date End field

Steps : 

# Navigate to the application
# Go to the  Shipping module
# Go to date start field 
# Choose date from calendar

Expected result : Admin should not able to choose future dates as Date Start

Actual result : Admin is able to choose future dates from present day",,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,RR-63,RR-87,RR-64,,,,,,,,,,,,,,,,,,07/Sep/21 6:31 AM;ug:30e985a9-36dc-4df9-805a-ba8b9991322d;Screenshot (178).png;https://corporateola26.atlassian.net/secure/attachment/10007/Screenshot+%28178%29.png,,,,,,{},,,,,,,0|i0000e:zzzv,,RR Sprint 1,,,,,,,,To Do
  Verify the Date End field of Tax module for taking future dates,RR-87,10126,Bug,To Do,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,07/Sep/21 6:26 AM,08/Sep/21 8:13 AM,09/Sep/21 6:03 AM,,,0,"Verify the Date End field

Steps : 

# Navigate to the application
# Go to the  Tax module
# Go to date start field 
# Choose date from calendar

Expected result : Admin should not able to choose future dates as Date Start

Actual result : Admin is able to choose future dates from present day",,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,RR-38,RR-86,RR-39,,,,,,,,,,,,,,,,,,07/Sep/21 6:27 AM;ug:30e985a9-36dc-4df9-805a-ba8b9991322d;Screenshot (177).png;https://corporateola26.atlassian.net/secure/attachment/10006/Screenshot+%28177%29.png,,,,,,{},,,,,,,0|i0000e:zzzr,,RR Sprint 1,,,,,,,,To Do
   Verify the Date End field of Order module for taking future dates,RR-86,10125,Bug,To Do,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,07/Sep/21 5:57 AM,08/Sep/21 8:13 AM,09/Sep/21 6:04 AM,,,0,"Verify the Date End field

Steps : 

# Navigate to the application
# Go to the  Order module
# Go to date start field 
# Choose date from calendar

Expected result : Admin should not able to choose future dates as Date Start

Actual result : Admin is able to choose future dates from present day",,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,RR-10,RR-85,RR-11,,,,,,,,,,,,,,,,,,07/Sep/21 6:15 AM;ug:30e985a9-36dc-4df9-805a-ba8b9991322d;Screenshot (176).png;https://corporateola26.atlassian.net/secure/attachment/10005/Screenshot+%28176%29.png,,,,,,{},,,,,,,0|i0000e:zzzi,,RR Sprint 1,,,,,,,,To Do
  Verify the Date Start field of shipping module for taking future dates,RR-85,10124,Bug,To Do,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,07/Sep/21 5:22 AM,08/Sep/21 8:13 AM,09/Sep/21 6:04 AM,,,0,"Verify the Date Start field

Steps : 

# Navigate to the application
# Go to the  Shipping module
# Go to date start field 
# Choose date from calendar

Expected result : Admin should not able to choose future dates as Date Start

Actual result : Admin is able to choose future dates from present day",,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,RR-58,RR-84,RR-59,,,,,,,,,,,,,,,,,,07/Sep/21 5:25 AM;ug:30e985a9-36dc-4df9-805a-ba8b9991322d;Screenshot (175).png;https://corporateola26.atlassian.net/secure/attachment/10004/Screenshot+%28175%29.png,,,,,,{},,,,,,,0|i0000e:zzz,,RR Sprint 1,,,,,,,,To Do
 Verify the Date Start field of Tax module for taking future dates,RR-84,10123,Bug,To Do,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,07/Sep/21 5:18 AM,08/Sep/21 8:13 AM,09/Sep/21 6:04 AM,,,0,"Verify the Date Start field

Steps : 

# Navigate to the application
# Go to the  Tax module
# Go to date start field 
# Choose date from calendar

Expected result : Admin should not able to choose future dates as Date Start

Actual result : Admin is able to choose future dates from present day",,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,RR-34,RR-83,RR-35,,,,,,,,,,,,,,,,,,07/Sep/21 5:19 AM;ug:30e985a9-36dc-4df9-805a-ba8b9991322d;Screenshot (174).png;https://corporateola26.atlassian.net/secure/attachment/10003/Screenshot+%28174%29.png,,,,,,{},,,,,,,0|i0000e:zzy,,RR Sprint 1,,,,,,,,To Do
Verify the Date Start field of Order module for taking future dates,RR-83,10122,Bug,To Do,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,07/Sep/21 4:43 AM,08/Sep/21 8:12 AM,09/Sep/21 6:04 AM,,,0,"Verify the Date Start field

Steps : 

# Navigate to the application
# Go to the  order module
# Go to date start field 
# Choose date from calendar

Expected result : Admin should not able to choose future dates as Date Start

Actual result : Admin is able to choose future dates from present day",,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,RR-6,,RR-7,,,,,,,,,,,,,,,,,,07/Sep/21 4:57 AM;ug:30e985a9-36dc-4df9-805a-ba8b9991322d;Screenshot (172).png;https://corporateola26.atlassian.net/secure/attachment/10002/Screenshot+%28172%29.png,,,,,,{},,,,,,,0|i0000e:zzx,,RR Sprint 1,,,,,,,,To Do
  Verify the pagination ,RR-81,10120,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,06/Sep/21 9:19 AM,09/Sep/21 5:23 AM,09/Sep/21 6:05 AM,07/Sep/21 8:45 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-56,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000nj:,,RR Sprint 1,,,,,,,,Done
 Verify the default Result pages,RR-80,10119,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,06/Sep/21 9:16 AM,09/Sep/21 5:24 AM,09/Sep/21 6:05 AM,07/Sep/21 8:45 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-55,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000nb:,,RR Sprint 1,,,,,,,,Done
  Check the result pages for Shipping Module,RR-79,10118,Story,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,06/Sep/21 9:13 AM,07/Sep/21 9:07 AM,09/Sep/21 6:05 AM,07/Sep/21 8:45 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,;07/Sep/21 9:07 AM;ug:30e985a9-36dc-4df9-805a-ba8b9991322d;2400,2400,0,2400,100%,2400,0,2400,,,RR-54,RR-80,RR-81,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0000e:zzv,,RR Sprint 1,,,,,,,,Done
  Verify the filter button with click,RR-78,10117,Test,Done,RR,retail_report,software,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,Medium,Done,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,sudipta chakraborty,612ef7bc44c8ed006880e8ad,06/Sep/21 9:11 AM,09/Sep/21 5:26 AM,09/Sep/21 6:05 AM,07/Sep/21 8:45 AM,,0,,,sudipta chakraborty,612ef7bc44c8ed006880e8ad,,,,,,,,,,,RR-53,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000mv:,,RR Sprint 1,,,,,,,,Done
